,21-Apr-2020
The Nifty witnessed an intraday movement of about 135 points.The closing index was 3.03 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 46977.52
, Traded Quantity (in Lakhs), 22285.3
, Number of Trades, 19066680
, Total Market Capitalisation (Rs. Crores), 11891972.91

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BRNL,EQ,        46.45,                   919282.55,19358
,BROOKS,EQ,        25.25,                  1577281.10,62112
,BSE,EQ,       365.05,                 46137018.40,126899
,BSELINFRA,EQ,          .85,                     3674.55,4323
,BSHSL,SM,       109.20,                   261840.00,2400
,BSL,EQ,        21.00,                   101204.70,4772
,BSLGOLDETF,EQ,      4505.00,                  2253822.15,502
,BSLNIFTY,EQ,       110.00,                   113738.00,1033
,BSLRIFS4RG,MF,         6.55,                    34658.90,5000
,BSOFT,EQ,        64.15,                 25145003.95,386824
,BURNPUR,EQ,          .90,                    20905.90,23754
,BUTTERFLY,EQ,       100.45,                 13311708.00,129736
,BVCL,BE,        10.00,                    28030.95,2763
,BYKE,EQ,        10.50,                   369568.25,34246
,CALSOFT,EQ,        10.80,                    48848.40,4523
,CAMLINFINE,EQ,        42.35,                  9330964.55,218742
,CANBK,EQ,        84.20,               1135748827.05,13216464
,CANDC,BZ,         1.25,                      480.00,384
,CANFINHOME,EQ,       291.30,                 96588603.60,329873
,CANTABIL,EQ,       236.75,                  6615700.55,27770
,CAPACITE,EQ,        90.00,                  9790590.40,106025
,CAPLIPOINT,EQ,       313.90,                 48122847.35,151766
,CAPTRUST,EQ,        73.15,                   324289.70,4258
,CARBORUNIV,EQ,       223.35,                 25217763.40,112968
,CAREERP,EQ,       141.15,                  2596694.45,18535
,CARERATING,EQ,       409.60,                 31477108.05,74715
,CASTEXTECH,BE,          .50,                    10514.50,21029
,CASTROLIND,EQ,       117.80,                112413150.85,963814
,CCCL,BE,          .50,                   146743.65,296710
,CCHHL,EQ,         2.70,                    71510.60,26236
,CCL,EQ,       186.05,                 13256440.55,71661
,CDSL,EQ,       215.90,                 62278294.05,285000
,CEATLTD,EQ,       783.55,                 39166203.75,50032
,CEBBCO,EQ,         8.75,                    86095.20,9861
,CELEBRITY,EQ,         5.10,                   270057.10,53307
,CENTENKA,EQ,       133.70,                  1504058.80,11196
,CENTEXT,EQ,         2.50,                   370202.90,148740
,CENTRALBK,EQ,        16.80,                 94012497.55,5474681
,CENTRUM,EQ,        12.95,                   444653.45,34267
,CENTUM,EQ,       285.50,                    88905.40,311
,CENTURYPLY,EQ,       114.75,                 17480866.70,152108
,CENTURYTEX,EQ,       311.35,                353543570.20,1124394
,CERA,EQ,      2230.70,                  7748745.20,3517
,CEREBRAINT,BE,        26.70,                  1708864.70,66667
,CESC,EQ,       607.45,               1152945536.20,1933614
,CESCVENT,EQ,       147.40,                  1181390.80,7963
,CGCL,EQ,       122.50,                  5357193.95,44094
,CGPOWER,EQ,         7.25,                   975465.75,134547
,CHALET,EQ,       171.05,                  2944033.25,17110
,CHAMBLFERT,EQ,       127.25,                 93327169.00,727048
,CHEMBOND,EQ,       141.90,                   557414.20,3917
,CHEMFAB,EQ,       138.65,                  1039768.60,7719
,CHENNPETRO,EQ,        65.25,                 50045652.70,758810
,CHOLAFIN,EQ,       143.65,               1339329653.40,9325938
,CHOLAHLDNG,EQ,       286.55,                 13464774.85,47273
,CHROMATIC,EQ,          .75,                     5755.75,7781
,CIGNITITEC,EQ,       250.45,                  7310249.55,29038
,CIMMCO,EQ,        15.50,                   129182.70,8294
,CINELINE,EQ,        23.75,                   487944.35,20377
,CINEVISTA,BE,         5.10,                     6945.90,1379
,CKFSL,BZ,          .40,                    25623.65,65723
,CLEDUCATE,EQ,        52.55,                  4684101.75,90105
,CLNINDIA,EQ,       310.80,                 48249546.75,154811
,CMICABLES,EQ,        28.20,                   728979.05,25490
,COCHINSHIP,EQ,       257.45,                 36706841.85,142009
,COMPINFO,EQ,        10.10,                   714759.00,69392
,COMPUSOFT,EQ,         9.20,                  2162642.85,235086
,CONFIPET,EQ,        19.40,                  2483921.65,127742
,CONSOFINVT,EQ,        23.45,                     3830.85,161
,CONTROLPR,EQ,       209.95,                  1469892.35,6993
,CORALFINAC,EQ,        13.20,                    15572.60,1182
,CORDSCABLE,EQ,        32.70,                   225894.05,6891
,COROMANDEL,EQ,       520.15,                 76879162.65,147203
,COSMOFILMS,EQ,       243.95,                 14435501.75,58451
,COUNCODOS,EQ,         1.00,                     2846.25,2855
,COX&KINGS,BZ,          .90,                   671250.35,746175
,CPSEETF,EQ,        16.69,                 20964685.91,1251522
,CREATIVE,EQ,        85.35,                    38104.75,446
,CREDITACC,EQ,       402.95,                 14206405.20,35256
,CREST,EQ,        59.75,                    57930.40,990
,CRISIL,EQ,      1407.00,                 67493812.60,47377
,CROMPTON,EQ,       216.00,                177215963.65,836368
,CSBBANK,EQ,       120.15,                 40093365.60,331372
,CTE,EQ,        19.00,                    37705.70,1977
,CUB,EQ,       127.15,                190716492.30,1491002
,CUBEXTUB,BE,        11.80,                    16811.40,1459
,CUMMINSIND,EQ,       401.25,                666933475.95,1674880
,CUPID,EQ,       176.80,                 10568515.00,59258
,CYBERTECH,EQ,        34.40,                   453151.60,13340
,CYIENT,EQ,       223.65,                146346348.90,654070
