,13-May-2020
The Nifty witnessed an intraday movement of about 233.4 points.The closing index was 2.03 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 57532.9
, Traded Quantity (in Lakhs), 31798.62
, Number of Trades, 20242248
, Total Market Capitalisation (Rs. Crores), 12268543.71

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CHENNPETRO,EQ,        57.20,                 27539229.00,478084
,CHOLAFIN,EQ,       157.70,               2351942066.20,14841950
,CHOLAHLDNG,EQ,       264.85,                 41020260.90,154476
,CHROMATIC,EQ,          .65,                     4805.85,7509
,CIGNITITEC,EQ,       317.95,                 19752155.65,62174
,CIMMCO,EQ,        15.10,                    85624.15,5731
,CINELINE,EQ,        20.05,                   174169.05,8735
,CINEVISTA,BE,         5.55,                     7011.60,1278
,CKFSL,BZ,          .45,                   192672.75,426717
,CLEDUCATE,EQ,        35.70,                   414980.90,11539
,CLNINDIA,EQ,       315.30,                  5164981.85,16195
,CMICABLES,EQ,        22.80,                   278504.05,12263
,CNOVAPETRO,BE,         5.85,                      600.35,107
,COCHINSHIP,EQ,       247.85,                 89513953.95,358645
,COMPINFO,EQ,         9.25,                   393456.70,43255
,COMPUSOFT,BE,         8.35,                   577378.60,69054
,CONFIPET,EQ,        18.70,                  1529986.20,81108
,CONSOFINVT,EQ,        23.00,                     6386.80,279
,CONTI,SM,        17.25,                  1861647.15,103323
,CONTROLPR,EQ,       195.95,                   807979.90,4100
,CORALFINAC,EQ,        12.85,                    79354.40,6290
,CORDSCABLE,EQ,        29.75,                   183852.50,6114
,COROMANDEL,EQ,       614.15,                 97920771.75,159742
,COSMOFILMS,EQ,       248.10,                  9164191.75,36783
,COUNCODOS,EQ,         1.00,                    42141.35,41305
,COX&KINGS,BZ,         1.25,                   289212.50,231370
,CPSEETF,EQ,        16.66,                 30360074.58,1822806
,CREATIVE,EQ,        82.00,                  3768575.50,45890
,CREATIVEYE,EQ,         1.20,                      180.00,150
,CREDITACC,EQ,       402.60,                 70398241.50,175493
,CREST,EQ,        64.65,                   327372.60,5110
,CRISIL,EQ,      1483.50,                 12448742.60,8349
,CROMPTON,EQ,       214.95,                137905460.95,634324
,CSBBANK,EQ,       120.55,                 12369025.15,103224
,CTE,EQ,        15.55,                    65256.35,4272
,CUB,EQ,       130.20,                236752151.80,1790342
,CUBEXTUB,BE,        10.50,                    13053.50,1259
,CUMMINSIND,EQ,       362.65,                741420915.65,2026539
,CUPID,EQ,       162.20,                  4484838.30,27515
,CYBERTECH,EQ,        31.25,                   107193.05,3421
,CYIENT,EQ,       207.10,                246801009.20,1193299
,DAAWAT,EQ,        21.10,                 13592321.85,649939
,DALBHARAT,EQ,       508.80,                152202453.85,296408
,DALMIASUG,EQ,        58.85,                  3340397.35,56002
,DAMODARIND,EQ,        20.20,                    49834.95,2501
,DATAMATICS,EQ,        48.25,                   628105.05,13242
,DBCORP,EQ,        66.90,                 12004131.40,176501
,DBL,EQ,       257.20,                160997300.25,631941
,DBREALTY,EQ,         6.00,                   266958.00,44493
,DBSTOCKBRO,EQ,         7.15,                        7.15,1
,DCAL,EQ,        74.55,                  9719352.85,130525
,DCBBANK,EQ,        71.50,                513275069.00,7301994
,DCM,EQ,        17.45,                   102115.30,5787
